,Uttar Pradesh
 Kheri,0.0
Agra,10953957.0
Aligarh,5725560.0
Allahabad,4747462.0
Ambedkar Nagar,17693000.0
Amethi,16492000.0
Amroha,0.0
Auraiya,25641000.0
Azamgarh,0.0
Baghpat,735705.0
Bahraich,0.0
Ballia,3272000.0
Balrampur,500000.0
Banda,0.0
Barabanki,3409981.0
Bareilly,2535000.0
Basti,0.0
Bhadohi,0.0
Bijnor,1500000.0
Budaun,0.0
Bulandshahr,7608000.0
Chandauli,0.0
Chitrakoot,0.0
Deoria,0.0
Etah,0.0
Etawah,0.0
Faizabad,724222.0
Farrukhabad,0.0
Fatehpur,0.0
Firozabad,100000.0
Gautam Buddha Nagar,824875.0
Ghaziabad,6809710.0
Ghazipur,0.0
Gonda,1250000.0
Gorakhpur,0.0
Hamirpur,0.0
Hapur,5294000.0
Hardoi,584640.0
Hathras,0.0
Jalaun,0.0
Jaunpur,500000.0
Jhansi,0.0
Kannauj,0.0
Kanpur Dehat,1400000.0
Kanpur Nagar,38035249.3
Kanshiram Nagar,0.0
Kaushambi,0.0
Kushinagar,0.0
Lalitpur,0.0
Lucknow,22719388.0
Maharajganj,0.0
Mahoba,972445.0
Mainpuri,0.0
Mathura,8514808.3
Mau,3176000.0
Meerut,4972335.85
Mirzapur,0.0
Moradabad,11020220.0
Muzaffarnagar,0.0
Pilibhit,4086000.0
Pratapgarh,734000.0
Raebareli,33192000.0
Rampur,12174497.0
Saharanpur,2190330.0
Sambhal,500000.0
Sant Kabir Nagar,7627167.0
Shahjahanpur,33071000.0
Shamali,0.0
Shravasti,0.0
Siddharthnagar,0.0
Sitapur,6253304.0
Sonbhadra,0.0
Sultanpur,0.0
Unnao,1772668.0
Varanasi,5057500.0
