,Maharashtra
Ahmednagar,5600000.0
Akola,2136714.0
Amravati,15979000.0
Aurangabad,611265711.0
Beed,400000.0
Bhandara,11696645.0
Buldhana,5460426.809999999
Chandrapur,21814800.0
Dhule,40487650.0
Gadchiroli,12450000.0
Gondia,40770000.0
Hingoli,0.0
Jalgaon,4163500.0
Jalna,18992100.0
Kolhapur,53040337.0
Latur,7218811.3
Mumbai City,2368853657.26
Mumbai Suburban,219888.0
Nagpur,176438699.0
Nanded,8961000.0
Nandurbar,55875000.0
Nashik,206698989.8
Osmanabad,4375926.0
Palghar,72788438.18
Parbhani,15700000.0
Pune,1803717551.61
Raigad,1316968824.0
Ratnagiri,48961033.02
Sangli,8340259.0
Satara,37560436.300000004
Sindhudurg,6346672.0
Solapur,21008759.0
Thane,371195687.89
Wardha,0.0
Washim,0.0
Yavatmal,0.0
