,Karnataka
Bagalkot,4700000.0
Bangalore Rural,13100000.0
Bangalore Urban,5500000.0
Belgaum,19900000.0
Bellary,8700000.0
Bidar,5000000.0
Bijapur,37400000.0
Chamarajanagar,0.0
Chikkamagaluru,0.0
Chikkballapur,0.0
Chitradurga,800000.0
Dakshina Kannada,3400000.0
Davangere,0.0
Dharwad,19800000.0
Gadag,0.0
Gulbarga,500000.0
Hassan,0.0
Haveri,1000000.0
Kodagu,6500000.0
Kolar,6800000.0
Koppal,5600000.0
Mandya,0.0
Mysore,38900000.0
Raichur,0.0
Ramanagara,7600000.0
Shimoga,4900000.0
Tumkur,4200000.0
Udupi,3900000.0
Uttara Kannada,14500000.0
Yadgir,0.0
