,Madhya Pradesh
Agar Malwa,0.0
Alirajpur,0.0
Anuppur,0.0
Ashoknagar,0.0
Balaghat,1800000.0
Barwani,0.0
Betul,18700000.0
Bhind,200000.0
Bhopal,57100000.0
Burhanpur,0.0
Chhatarpur,2900000.0
Chhindwara,0.0
Damoh,2200000.0
Datia,200000.0
Dewas,4900000.0
Dhar,6300000.0
Dindori,0.0
Guna,600000.0
Gwalior,4500000.0
Harda,0.0
Hoshangabad,300000.0
Indore,34200000.0
Jabalpur,26900000.0
Jhabua,0.0
Katni,0.0
Khandwa,57400000.0
Khargone,0.0
Mandla,100000.0
Mandsaur,0.0
Morena,1500000.0
Narsinghpur,2900000.0
Neemuch,0.0
Panna,0.0
Raisen,8000000.0
Rajgarh,0.0
Ratlam,1800000.0
Rewa,6800000.0
Sagar,500000.0
Satna,12100000.0
Sehore,1600000.0
Seoni,1000000.0
Shahdol,900000.0
Shajapur,700000.0
Sheopur,2700000.0
Shivpuri,0.0
Sidhi,9400000.0
Singrauli,352200000.0
Tikamgarh,0.0
Ujjain,9400000.0
Umaria,0.0
Vidisha,6500000.0
