,Rajasthan
Ajmer,26100000.0
Alwar,72000000.0
Banswara,7800000.0
Baran,500000.0
Barmer,2700000.0
Bharatpur,7700000.0
Bhilwara,14100000.0
Bikaner,13000000.0
Bundi,0.0
Chittorgarh,800000.0
Churu,12600000.0
Dausa,0.0
Dholpur,500000.0
Dungarpur,15700000.0
Ganganagar,0.0
Hanumangarh,0.0
Jaipur,149800000.0
Jaisalmer,2700000.0
Jalore,0.0
Jhalawar,25500000.0
Jhunjhunu,2800000.0
Jodhpur,2300000.0
Karauli,11400000.0
Kota,8600000.0
Nagaur,28900000.0
Pali,11000000.0
Pratapgarh,1000000.0
Rajsamand,43000000.0
Sawai Madhopur,10300000.0
Sikar,2400000.0
Sirohi,12400000.0
Tonk,400000.0
Udaipur,30600000.0
