,Telangana
Adilabad,1100000.0
Bhadradri Kothagudem,0.0
Hyderabad,201700000.0
Jagtial,0.0
Jangaon,0.0
Jayashankar,0.0
Jogulamba,0.0
Kamareddy,0.0
Karimnagar,17300000.0
Khammam,3600000.0
Komaram Bheem,0.0
Mahabubabad,0.0
Mahbubnagar,0.0
Mancherial,0.0
Medak,5900000.0
Medchal,0.0
Nagarkurnool,0.0
Nalgonda,16100000.0
Nirmal,0.0
Nizamabad,200000.0
Peddapalli,0.0
Rajanna Sircilla,0.0
Ranga Reddy,24000000.0
Sangareddy,100000.0
Siddipet,0.0
Suryapet,15300000.0
Vikarabad,0.0
Wanaparthy,0.0
Warangal Rural,0.0
Warangal Urban,0.0
Yadadri Bhuvanagiri,0.0
