,name,year-served
0,Pankaj R. Patel ,2016-2017
1,Harshavardhan Neotia,2015-2016
2,Dr. Jyotsna Suri,2014-2015
3,Mr Sidharth Birla,2013-2014
4,Ms Naina lal Kidwai,2012-2013
5,Mr R V Kanoria,2011-2012
6,Mr Harsh Mariwala ,2010-2011
7,Mr Rajan Bharti Mittal,2009-2010
8,Mr. Harsh Pati Singhania,2008-2009
9,Mr Rajeev Chandrasekhar ,2007-2008
10,Mr H Khorakiwala,2006-2007
11,Mr Saroj K Poddar,2005-2006
12,Mr Onkar S Kanwar,2004-2005
13,Mr Y K Modi,2003-2004
14,Dr. A C Muthiah,2002-2003
15,Shri Rajendra S Lodha ,2001-2002
16,Shri Chirayu R Amin ,2000-2001
17,Shri G P Goenka ,1999
18,Shri Sudhir Jalan ,1998
19,Shri K K Modi ,1997
20,Shri A S Kasliwal ,1996
21,Shri Deepak Banker ,1995
22,Shri A K Rungta ,1994
23,Dr Bansi dhar,1993
24,Shri Kantikumar R Podar ,1992
25,Dr V L Dutt ,1991
26,Shri S K Birla ,1990
27,Shri Raunaq Singh ,1989
28,Shri Rohit C Mehta ,1988
29,Shri K S G Haja Shareeff ,1987
30,Shri R P Goenka ,1986
31,Shri D N Patodia ,1985
32,Shri Ramakrishna Bajaj ,1984
33,Shri A K Jain ,1983
34,Dr (Cav) G K Devarajulu,1982
35,Shri Arvind N Lalbhai ,1981
36,Dr K N Modi ,1980
37,Shri Hari Shankar Singhania ,1979
38,Shri Pravinchandra V Gandhi ,1978
39,Shri B P Poddar ,1977
40,Shri M V Arunachalam ,1976
41,Shri Harish Mahindra ,1975
42,Dr K K Birla ,1974
43,Dr Charat Ram ,1973
44,Shri Madanmohan Mangaldas,1972
45,Shri S S Kanoria ,1971
46,Dr D C Kothari ,1970
47,Dr Ramnath A Podar ,1969
48,Rai Bahadur G M Modi ,1968
49,Shri L N Birla ,1967
50,Shri Ramanbhai B Amin,1966
51,Shri S L Kirloskar ,1965
52,Shri K P Goenka ,1964
53,Dr Bharat Ram ,1963
54,Shri Shriyans Prasad Jain ,1962
55,Shri Karam Chand Thapar ,1961
56,Shri A M M Murugappa Chettiar ,1960
57,Shri Madanmohan R  Ruia ,1959
58,Sir B P Singh Roy ,1958
59,Shri Babubhai M Chinai ,1957
60,Shri Lakshmipat Singhania ,1956
61,Shri Shantilal Mangaldas ,1955
62,Shri B M Birla ,1954
63,Sir R G Saraiya ,1953
64,Shri Shanti Prasad Jain ,1952
65,Sir Tulsidas Kilachand ,1950
66,Shri K D Jalan ,1949
67,Shri Lalji Mehrotra ,1948
68,Shri M A Master ,1947
69,Shri Gurusharan Lall ,1946
70,Sir Badridas Goenka ,1945
71,Shri J C Setalvad ,1944
72,Dr Rajah Sir Muthiah Chettiar of Chettinad ,1943
73,Shri Gaganvihari L Mehta ,1942
74,Sir Chunilal B Mehta ,1941
75,Shri Amrit Lal Ojha ,1940
76,Dewan Bahadur C S Ratnasabapathi Mudaliar,1939
77,Shri Jamshed N R Mehta ,1938
78,Sir Rahimtoola M Chinoy ,1937
79,Shri D P Khaitan ,1936
80,Sir Padampat Singhania ,1935
81,Shri Kasturbhai Lalbhai ,1934
82,Shri Nalini Ranjan Sarker ,1933
83,Shri. Walchand Hirachand ,1932
84,Shri M Jamal Mohammed Sahib ,1931
85,Sir Shri Ram ,1930
86,Shri G D Birla ,1929
87,Sir Purshotamdas Thakurdas,1928
88,Mr Dinshaw M Petit ,1927
89,Shri C M Kothari ,1951
